title,url,address,city,location/lat,location/lng,neighborhood,phone,street,state,website,price,label,description (optional),imageUrl
Griya Kost Ummi Sri,https://www.google.com/maps/search/?api=1&query=Griya%20Kost%20Ummi%20Sri&query_place_id=ChIJ22l3eUL51y0R9zmoKUQ3lZM,"Jl. Plampitan XII No.21, Peneleh, Kec. Genteng, Surabaya, Jawa Timur 60274, Indonesia",Surabaya,-72.540.914,1.127.387.528,"Peneleh, Kecamatan Genteng",+62 878-4673-9029,Jl. Plampitan XII No.21,Jawa Timur,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-griya-ummi-sri-genteng-surabaya-2,1.200.000,C,"AC
Kasur
Meja
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Kursi
K. Mandi Dalam
Kloset Jongkok
Ember mandi
Shower",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmEEvvjwz7owJe6XgxjzXYFx0tKwSLEY0Sy7pLi02kbkDFvc6sMT_n_PSXLxYI4jzvXmfgJz57NVyLQ2HaA-8L7bdQ81jK5evNiSaFugopy8myQrjbM-K0QABBGlDYtEbwrCVu5A=w426-h240-k-no
KOST PUTRI - Haven For Her,https://www.google.com/maps/search/?api=1&query=KOST%20PUTRI%20-%20Haven%20For%20Her&query_place_id=ChIJjSJteWf51y0Rld8mgU-cmFw,"Jl. Peneleh Gg. III No.45, Peneleh, Kec. Genteng, Surabaya, Jawa Timur 60274, Indonesia",Surabaya,-72.535.202,1.127.385.687,"Peneleh, Kecamatan Genteng",+62 878-8575-1943,Jl. Peneleh Gg. III No.45,Jawa Timur,https://wa.me/p/8341450482584664/6287885751943,600.000,P,"Kasur
Lemari / Storage
Jendela
Bantal
Kipas Angin
Kloset Duduk
K. Mandi Luar
Bak mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkkxS8vjiEgIttgmWT1SFl-nnCyNmQ0vqDv8H2B-n3HUOYqkJyapgyk4LHjOr_M7KQNFuxAfbXtIo82v5P2J_Sd8OSvqg3ffkZtSBj-GLImKaFI3cS63XsA0FpJ4XBFLVXoIyq8A=w408-h338-k-no
El Living Executive Kost | Kost Eksekutif Pusat Kota Surabaya,https://www.google.com/maps/search/?api=1&query=El%20Living%20Executive%20Kost%20%7C%20Kost%20Eksekutif%20Pusat%20Kota%20Surabaya&query_place_id=ChIJywu5Ehv51y0RJRWM__K0ouw,"Samping Kantor LG, Jl. Kalianyar, Kapasari, Kec. Genteng, Surabaya, Jawa Timur 60273, Indonesia",Surabaya,-7.248.504,1.127.487.642,"Kapasari, Kecamatan Genteng",+62 878-5316-0177,"Samping Kantor LG, Jl. Kalianyar",Jawa Timur,,2.000.000,C,"AC
Kasur
Meja
Meja Rias
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Wastafel
Kamar Mandi Dalam
Kloset Duduk
Shower
Air Panas",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-b-NZSZVa1QddmB2KJy2wnr8mu0111lKMKiBPFhj5Orp2AeQNuWrnm-MilMC908CMgSgK5WkvvPXQSNExPwtLdis4euYLEQfNFmFeOWRRwS8tx8Rn4m6MiU_ns1ulAhWo22h2TkhQIskG=w408-h543-k-no
FAZIRAA kost ( kost putri muslim ),https://www.google.com/maps/search/?api=1&query=FAZIRAA%20kost%20(%20kost%20putri%20muslim%20)&query_place_id=ChIJ_xy64G351y0RwDdyprJ0TlU,"Jl. Kusuma Bangsa No.55, Kapasari, Kec. Genteng, Surabaya, Jawa Timur 60273, Indonesia",Surabaya,-72.513.388,1.127.495.675,"Kapasari, Kecamatan Genteng",+62 831-5552-3459,Jl. Kusuma Bangsa No.55,Jawa Timur,,650.000,P,"Kasur
Lemari / Storage
Ventilasi
Jendela
Guling
Bantal
Kipas Angin
Kloset Jongkok
Kamar Mandi Luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEE80fEepvxaamOv6iNHM8IkKh_raAinZ6T-mBSerlTzx6AtivvWHIV9s7W2yxCVaFr1a5h1YF2rq_i_d6aRsz8DC8d4h_qmES7uo2cF0i_u5T6E6pCzVstcRUe5PyVq2Jnu0xecg=w408-h408-k-no
Kost Putra Ivandio,https://www.google.com/maps/search/?api=1&query=Kost%20Putra%20Ivandio&query_place_id=ChIJzd6kaAD71y0RGnee2TtV4oY,"Gg. ABM Jl. Karang Menur Timur No.7, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.747.685,1.127.613.843,"Airlangga, Kecamatan Gubeng",+62 812-9601-2520,Gg. ABM Jl. Karang Menur Timur No.7,Jawa Timur,,850.000,L ,"Kasur
Meja
Meja Rias
Lemari / Storage
Ventilasi
Meja Makan
Jendela
Guling
Dapur Pribadi
Bantal
Kloset Duduk
Kamar Mandi Luar
Ember Mandi
Shower
Bak Mandi",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUolBYQRLcYbk4_V0V3qJcQmZFSoKazCKo_Y6vsc9pFRD0SlQx-RTpBxc0X1unWm5sZcB4kPvXXKThIsDK-2FdVTJJ8jeazE4E_g2BYP8guh3AmbJ_vlfNTfvqwcopxVCc-jFHn6NVFNY2=w408-h544-k-no
Kost Celestia,https://www.google.com/maps/search/?api=1&query=Kost%20Celestia&query_place_id=ChIJu4eNwhv71y0RmW_D0xHFjRA,"Jl. Gubeng Kertajaya XIII No.10, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-72.782.703,1.127.603.098,"Airlangga, Kecamatan Gubeng",+62 858-1609-4744,Jl. Gubeng Kertajaya XIII No.10,Jawa Timur,,1.300.000,P,"AC
Kasur
Lemari / Storage
Ventilasi
Guling
Bantal
Wastafel
Kamar Mandi Dalam
Kloset Duduk
Kamar Mandi Luar",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mc0CD39esaMJOPL6O0wL_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.36858&pitch=0&thumbfov=100
Griya HNN | Kost Putri | kost surabaya,https://www.google.com/maps/search/?api=1&query=Griya%20HNN%20%7C%20Kost%20Putri%20%7C%20kost%20surabaya&query_place_id=ChIJhXukpBn71y0Rff7fEDZNekM,"Jl. Gubeng Kertajaya IX Raya No.14, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-727.759,112.757.226,"Airlangga, Kecamatan Gubeng",+62 813-3102-6398,Jl. Gubeng Kertajaya IX Raya No.14,Jawa Timur,,1.800.000,P,"AC
Kasur
Meja
Meja Rias
Lemari / Storage
Ventilasi
Jendela
Cermin
Bantal
Kursi
Kamar Mandi Dalam
Kloset Duduk
Shower",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxMazKrrEnh7DBJxTz_zxRkZkQ6p6_AK96Mty5ZM4DxulDEkzGpf6qhNumWPqO5UahY32-i3CLddYPRdQk1I6zlM7XrSbBs54SIfDnoofFYFxVD1ESDLZ39UgfSGcVtKROLo6h=w408-h706-k-no
Kosayu Residence Ubaya,https://www.google.com/maps/search/?api=1&query=Kosayu%20Residence%20Ubaya&query_place_id=ChIJYae1DUH71y0RkDzXk2TQNvs,"Jl. Rungkut Mejoyo Utara IV No.12 (AG-6, Kali Rungkut, Kec. Rungkut, Surabaya, Jawa Timur 60293, Indonesia",Surabaya,-73.189.548,1.127.645.742,"Kali Rungkut, Kecamatan Rungkut",+62 852-8300-7600,Jl. Rungkut Mejoyo Utara IV No.12 (AG-6,Jawa Timur,,2.500.000,C,"AC
Kasur
Meja
Lemari / Storage
Jendela
Bantal
Kursi
Kamar Mandi Dalam
Kloset Duduk
Wastafel
Shower
Air Panas",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_PUcXuCZld8TYYdAiLjyh3r7hmtAK0Xv3QVFujurFS3yGcHSLZMqQF6v95PbSZDI6wnh4H2kYDwsIiFRrdCyS9LhMKhKQ1YAWgpLMGXWQZFyk3O730MzYBlJr1bs43MsvJ2ELyT1M6qIj=w408-h510-k-no
Kost Bu Eti - Campur dan Pasutri Gayungan,https://www.google.com/maps/search/?api=1&query=Kost%20Bu%20Eti%20-%20Campur%20dan%20Pasutri%20Gayungan&query_place_id=ChIJl1y2n1771y0Rw11xPFe1jNE,"Jl. Gayungan 8 No.1A, Gayungan, Kec. Gayungan, Surabaya, Jawa Timur 60235, Indonesia",Surabaya,-73.350.359,112.726.197,"Gayungan, Kecamatan Gayungan",,Jl. Gayungan 8 No.1A,Jawa Timur,,1.750.000,C,"AC
Kasur
Meja
Lemari / Storage
Jendela
Guling
Dapur Pribadi
Cermin
Bantal
Wastafel
Kamar Mandi Dalam
Kloset Duduk
Shower",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEugnLzgmXY21A5WE91l48_w5Z9UqFVPJVFUMghCexdR2HOvDVMRJ66rL4k06-6yXCpAVdugja-fflYUno9tcpJphB_HINTUtGpryMgzZnqMQ8go5NTZGKfWPAItAn5KDzcV8vH=w408-h408-k-no
Kost Putri Karang Wismo,https://www.google.com/maps/search/?api=1&query=Kost%20Putri%20Karang%20Wismo&query_place_id=ChIJ67DX7rP71y0RnRQRNqRsiGc,"Jl. Karang Wismo I No.6, RT.002/RW.07, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",Surabaya,-7.274.657,1.127.594.249,"Airlangga, Kecamatan Gubeng",+62 812-3162-275,"Jl. Karang Wismo I No.6, RT.002/RW.07",Jawa Timur,,850.000,P,"WiFi
Kulkas
Ruang Jemur
Ruang Makan
Dapur
Jemuran
Kamar Mandi Luar",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHO3X3DxtX9jHwUpa_V_S7ODezCS3IDozCH-0BSDB8otXIZ-ljbGwKqJIs_dy2An_FYiS9yfC2pJnaOi9tLUJb4HPdkRcLYxFNA7GDAEGnNLhBFvy8swND33ExKUn2du5Q8OdmOXQ=w408-h544-k-no
